Год;Янв;Фев;Мар;Апр;Май;Июн;Июл;Авг;Сен;Окт;Ноя;Дек;Суммарная
2018;0.31;0.21;0.29;0.38;0.38;0.49;0.27;0.01;;;;;2.36
2017;0.62;0.22;0.13;0.33;0.37;0.61;0.07;-0.54;-0.15;0.2;0.22;0.42;2.51
2016;0.96;0.63;0.46;0.44;0.41;0.36;0.54;0.01;0.17;0.43;0.44;0.4;5.38
2015;3.85;2.22;1.21;0.46;0.35;0.19;0.8;0.35;0.57;0.74;0.75;0.77;12.91
2014;0.59;0.7;1.02;0.9;0.9;0.62;0.49;0.24;0.65;0.82;1.28;2.62;11.36
2013;0.97;0.56;0.34;0.51;0.66;0.42;0.82;0.14;0.21;0.57;0.56;0.51;6.45
2012;0.5;0.37;0.58;0.31;0.52;0.89;1.23;0.1;0.55;0.46;0.34;0.54;6.58
2011;2.37;0.78;0.62;0.43;0.48;0.23;-0.01;-0.24;-0.04;0.48;0.42;0.44;6.1
2010;1.64;0.86;0.63;0.29;0.5;0.39;0.36;0.55;0.84;0.5;0.81;1.08;8.78
2009;2.37;1.65;1.31;0.69;0.57;0.6;0.63;0;-0.03;0;0.29;0.41;8.8
2008;2.31;1.2;1.2;1.42;1.35;0.97;0.51;0.36;0.8;0.91;0.83;0.69;13.28
2007;1.68;1.11;0.59;0.57;0.63;0.95;0.87;0.09;0.79;1.64;1.23;1.13;11.87
2006;2.43;1.66;0.82;0.35;0.48;0.28;0.67;0.19;0.09;0.28;0.63;0.79;9
2005;2.62;1.23;1.34;1.12;0.8;0.64;0.46;-0.14;0.25;0.55;0.74;0.82;10.91
2004;1.75;0.99;0.75;0.99;0.74;0.78;0.92;0.42;0.43;1.14;1.11;1.14;11.74
2003;2.4;1.63;1.05;1.02;0.8;0.8;0.71;-0.41;0.34;1;0.96;1.1;11.99
2002;3.09;1.16;1.08;1.16;1.69;0.53;0.72;0.09;0.4;1.07;1.61;1.54;15.06
2001;2.8;2.3;1.9;1.8;1.8;1.6;0.5;0;0.6;1.1;1.4;1.6;18.82
2000;2.3;1;0.6;0.9;1.8;2.6;1.8;1;1.3;2.1;1.5;1.6;20.13
1999;8.4;4.1;2.8;3;2.2;1.9;2.8;1.2;1.5;1.4;1.2;1.3;36.59
1998;1.5;0.9;0.6;0.4;0.5;0.1;0.2;3.7;38.4;4.5;5.7;11.6;84.47
1997;2.3;1.5;1.4;1;0.9;1.1;0.9;-0.1;-0.3;0.2;0.6;1;10.99
1996;4.1;2.8;2.8;2.2;1.6;1.2;0.7;-0.2;0.3;1.2;1.9;1.4;21.85
1995;17.8;11;8.9;8.5;7.9;6.7;5.4;4.6;4.5;4.7;4.6;3.2;131.61
1994;17.9;10.8;7.4;8.5;6.9;6;5.3;4.6;8;15;14.6;16.4;214.77
1993;25.8;24.7;20.1;18.7;18.1;19.9;22.4;26;23;19.5;16.4;12.5;840.03
1992;245.3;38;29.9;21.7;11.9;19.1;10.6;8.6;11.5;22.9;26.1;25.2;2508.85
1991;6.2;4.8;6.3;63.5;3;1.2;0.6;0.5;1.1;3.5;8.9;12.1;160.4
